zip code tabulation area,year,med_income,med_home_val,med_rent,perc_white,med_age,perc_employed,perc_hs_grad,med_income_change,med_home_val_change,med_rent_change,perc_white_change,med_age_change,perc_employed_change
61561.0,2012,57168.0,125800.0,733.0,2647.0,42.6,1439.0,0.3361157484696717,0.0,0.0,0.0,0.0,0.0,0.0
61571.0,2012,65098.0,151600.0,701.0,22777.0,37.8,11164.0,0.23130167275523938,0.0,0.0,0.0,0.0,0.0,0.0
61572.0,2012,46979.0,84200.0,739.0,1282.0,41.2,565.0,0.35912240184757505,0.0,0.0,0.0,0.0,0.0,0.0
61723.0,2012,51382.0,102500.0,643.0,1689.0,48.5,861.0,0.4213886671987231,0.0,0.0,0.0,0.0,0.0,0.0
61724.0,2012,71250.0,89400.0,438.0,483.0,34.9,289.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0
61725.0,2012,73355.0,168800.0,675.0,1466.0,35.8,857.0,0.18083961248654468,0.0,0.0,0.0,0.0,0.0,0.0
61722.0,2012,58750.0,92300.0,675.0,593.0,47.4,275.0,0.46635730858468677,0.0,0.0,0.0,0.0,0.0,0.0
61727.0,2012,49231.0,103000.0,619.0,9460.0,41.9,4501.0,0.3687974314068885,0.0,0.0,0.0,0.0,0.0,0.0
61739.0,2012,58176.0,122300.0,636.0,4693.0,38.3,2352.0,0.3888186986734049,0.0,0.0,0.0,0.0,0.0,0.0
61466.0,2012,60417.0,75400.0,625.0,360.0,50.2,200.0,0.2972972972972973,0.0,0.0,0.0,0.0,0.0,0.0
61480.0,2012,43227.0,85900.0,525.0,1493.0,43.8,709.0,0.403921568627451,0.0,0.0,0.0,0.0,0.0,0.0
60162.0,2012,52395.0,200600.0,866.0,2636.0,39.8,3731.0,0.22926391382405745,0.0,0.0,0.0,0.0,0.0,0.0
60184.0,2012,152500.0,630300.0,2001.0,2601.0,44.9,1457.0,0.18607123870281764,0.0,0.0,0.0,0.0,0.0,0.0
60407.0,2012,52500.0,134300.0,907.0,1794.0,33.7,768.0,0.31496062992125984,0.0,0.0,0.0,0.0,0.0,0.0
60408.0,2012,62841.0,166400.0,780.0,5424.0,40.5,2579.0,0.3375897845171588,0.0,0.0,0.0,0.0,0.0,0.0
60442.0,2012,77278.0,250000.0,1081.0,9377.0,34.2,5215.0,0.27924647775842965,0.0,0.0,0.0,0.0,0.0,0.0
60448.0,2012,99461.0,291600.0,1089.0,23053.0,40.0,13028.0,0.25363326172121825,0.0,0.0,0.0,0.0,0.0,0.0
60463.0,2012,77121.0,290300.0,1701.0,13441.0,51.5,5853.0,0.19984945427173503,0.0,0.0,0.0,0.0,0.0,0.0
60467.0,2012,90709.0,328500.0,1391.0,24664.0,44.5,12052.0,0.25431058379996674,0.0,0.0,0.0,0.0,0.0,0.0
60482.0,2012,55253.0,184100.0,892.0,10051.0,37.7,5895.0,0.357429718875502,0.0,0.0,0.0,0.0,0.0,0.0
60558.0,2012,137331.0,550000.0,2001.0,12617.0,42.7,5598.0,0.0761764344514068,0.0,0.0,0.0,0.0,0.0,0.0
60560.0,2012,82275.0,256200.0,1081.0,20547.0,35.7,11574.0,0.23663913726025526,0.0,0.0,0.0,0.0,0.0,0.0
60563.0,2012,77686.0,322700.0,1171.0,25697.0,34.8,19127.0,0.14349775784753363,0.0,0.0,0.0,0.0,0.0,0.0
60611.0,2012,87094.0,505800.0,1556.0,22818.0,42.9,17759.0,0.04042451705222991,0.0,0.0,0.0,0.0,0.0,0.0
60616.0,2012,42218.0,297000.0,879.0,14215.0,36.0,24210.0,0.21190282459607113,0.0,0.0,0.0,0.0,0.0,0.0
60651.0,2012,30963.0,197800.0,933.0,9626.0,31.5,21373.0,0.3010599212327862,0.0,0.0,0.0,0.0,0.0,0.0
62370.0,2012,35083.0,72400.0,1125.0,314.0,55.1,121.0,0.46366782006920415,0.0,0.0,0.0,0.0,0.0,0.0
62432.0,2012,46389.0,72500.0,390.0,539.0,45.0,275.0,0.4195121951219512,0.0,0.0,0.0,0.0,0.0,0.0
62561.0,2012,58059.0,117100.0,760.0,5177.0,39.7,2679.0,0.35510688836104515,0.0,0.0,0.0,0.0,0.0,0.0
62440.0,2012,55543.0,107800.0,531.0,1404.0,40.8,682.0,0.3446502057613169,0.0,0.0,0.0,0.0,0.0,0.0
62286.0,2012,46279.0,86300.0,674.0,5155.0,41.8,2865.0,0.31101656963725927,0.0,0.0,0.0,0.0,0.0,0.0
62366.0,2012,42500.0,72600.0,525.0,1809.0,36.9,693.0,0.4927536231884058,0.0,0.0,0.0,0.0,0.0,0.0
62631.0,2012,51786.0,87500.0,525.0,244.0,42.6,144.0,0.31891891891891894,0.0,0.0,0.0,0.0,0.0,0.0
62512.0,2012,48333.0,68800.0,637.0,340.0,36.7,145.0,0.415,0.0,0.0,0.0,0.0,0.0,0.0
62531.0,2012,64375.0,102900.0,707.0,1698.0,40.1,842.0,0.35792120704107294,0.0,0.0,0.0,0.0,0.0,0.0
62532.0,2012,88021.0,103400.0,707.0,166.0,42.6,119.0,0.5510204081632653,0.0,0.0,0.0,0.0,0.0,0.0
62541.0,2012,39839.0,126600.0,707.0,156.0,30.4,52.0,0.34065934065934067,0.0,0.0,0.0,0.0,0.0,0.0
61729.0,2012,65875.0,209800.0,425.0,988.0,39.3,509.0,0.3191489361702128,0.0,0.0,0.0,0.0,0.0,0.0
61486.0,2012,45707.0,93200.0,533.0,1573.0,43.9,700.0,0.3291814946619217,0.0,0.0,0.0,0.0,0.0,0.0
