zip code tabulation area,year,med_income,med_home_val,med_rent,perc_white,med_age,perc_employed,perc_hs_grad,med_income_change,med_home_val_change,med_rent_change,med_age_change,perc_white_change,perc_hs_grad_change,perc_employed_change
60423,2012,96616,308500,998,0.908174729,39.3,0.93478951,0.220257235,0,0,0,0,0,0,0
60429,2012,49735,137700,1378,0.153774867,36.1,0.791279298,0.271784841,0,0,0,0,0,0,0
60461,2012,80677,262600,2001,0.316455696,51.1,0.902614968,0.130184015,0,0,0,0,0,0,0
60462,2012,74529,273200,989,0.904569265,45.2,0.90537895,0.262405262,0,0,0,0,0,0,0
60466,2012,47200,99300,929,0.319528201,36.3,0.84980511,0.23756127,0,0,0,0,0,0,0
60430,2012,73597,186000,979,0.571829913,41.5,0.892443659,0.18916983,0,0,0,0,0,0,0
60603,2012,107056,618100,1923,0.678972713,27.1,0.95599022,0.062146893,0,0,0,0,0,0,0
60053,2012,72204,327300,1381,0.636673278,45.1,0.913047041,0.190606608,0,0,0,0,0,0,0
60026,2012,100729,587900,1403,0.824988791,45.4,0.940469032,0.116027838,0,0,0,0,0,0,0
60169,2012,69042,225200,1048,0.574497554,34.7,0.913368223,0.192638414,0,0,0,0,0,0,0
60428,2012,44901,112500,1314,0.159014558,36.5,0.787954831,0.284536082,0,0,0,0,0,0,0
60487,2012,91957,281100,1148,0.889775995,38.5,0.936684292,0.2476975,0,0,0,0,0,0,0
60471,2012,60734,169900,961,0.1389111,37.8,0.860711582,0.172846179,0,0,0,0,0,0,0
60472,2012,21576,75400,763,0.047886778,43.8,0.707070707,0.333054627,0,0,0,0,0,0,0
60478,2012,61544,154600,1459,0.111895644,42,0.877546242,0.221353938,0,0,0,0,0,0,0
60501,2012,49680,194200,829,0.711450382,29.9,0.880851064,0.302153144,0,0,0,0,0,0,0
60513,2012,71520,251700,952,0.921031683,38,0.919178842,0.249696602,0,0,0,0,0,0,0
60526,2012,66868,340800,1018,0.903323041,42.5,0.937096079,0.179253288,0,0,0,0,0,0,0
60534,2012,54517,196500,950,0.838041431,37,0.907453197,0.292126975,0,0,0,0,0,0,0
60607,2012,80501,347000,1412,0.570540017,30.9,0.902603064,0.061329288,0,0,0,0,0,0,0
60609,2012,34966,192000,784,0.460210733,29.1,0.79191663,0.263695761,0,0,0,0,0,0,0
60625,2012,55000,316000,944,0.523975345,32.8,0.907711274,0.13761366,0,0,0,0,0,0,0
60646,2012,72913,385900,896,0.810380249,43.1,0.912543798,0.166339326,0,0,0,0,0,0,0
60652,2012,66288,180500,1107,0.291134785,34.7,0.887654034,0.252484192,0,0,0,0,0,0,0
60601,2012,80613,465700,1726,0.679807987,34.5,0.953319982,0.027912932,0,0,0,0,0,0,0
60608,2012,35603,247800,774,0.445643918,30.9,0.839924433,0.237413041,0,0,0,0,0,0,0
60620,2012,33301,150200,891,0.008687454,37.6,0.739421074,0.280983249,0,0,0,0,0,0,0
60634,2012,56500,261000,939,0.764576593,38.9,0.890845858,0.299690103,0,0,0,0,0,0,0
60637,2012,27167,202200,857,0.161536829,31.7,0.772545514,0.193850648,0,0,0,0,0,0,0
60644,2012,26520,192100,849,0.034519339,32.5,0.736882479,0.324446869,0,0,0,0,0,0,0
60605,2012,71362,354400,1605,0.577489404,33.9,0.956256031,0.063866814,0,0,0,0,0,0,0
